circle,Global_Id,Site Name,Cluster_name,latitude,longitude
Odisha,453337,DEULASAHI,Angul,20.6468,85.59069917
Odisha,453338,Police Work Land,Angul,20.6557,85.58689327
Odisha,453339,GOPABANDU CHOWK,Angul,20.6699,85.59094704
Odisha,453362,ATTARGARH,Angul,20.5229,85.62700205
Odisha,453364,RAMPAI,Angul,20.5629,85.7224728
Odisha,453369,NUAPATNA,Angul,20.5209,85.83058443
Odisha,453372,GOVINDPUR,Angul,20.6097,85.63694383
Odisha,453403,Kaunripal,Angul,20.7378,85.48221872
Odisha,453406,BAULPUR,Angul,20.7176,85.51163782
Odisha,453450,BANKI-1,Angul,20.3772,85.52311136
Odisha,453497,BINDHA NIMA,Angul,20.4448,85.49227579
Odisha,453537,SADANGI,Angul,20.8107,85.83508333
Odisha,453606,NARAGANG,Angul,20.3069,85.51363
Odisha,453619,Rishipada,Angul,20.4108,85.19347
Odisha,453828,AMALAPADA,Angul,20.6515,85.60202862
Odisha,453829,COLLAGE BYPASS ROAD,Angul,20.6376,85.61819242
Odisha,453830,STATION BAZAR,Angul,20.6772,85.584472
Odisha,453842,Balabhadrapur,Angul,20.693,85.57747543
Odisha,453843,MUKTA DEBIPUR,Angul,20.6638,85.59802923
Odisha,453884,RAJABALI NAGAR,Angul,20.5141,85.63283
Odisha,453886,Banki(R P T),Angul,20.3757,85.53135845
Odisha,453887,PURUSOTAMPUR,Angul,20.5546,85.76207
Odisha,453906,Tigiria,Angul,20.4652,85.5178909
Odisha,453956,Nilamadhab pur,Angul,20.703,85.52263904
Odisha,454039,Belatikiri,Angul,20.6966,85.69066
Odisha,454041,KAPILASH,Angul,20.6984,85.74508446
Odisha,454095,MATHAKARGALA,Angul,20.8997,85.68072673
Odisha,454139,JIRAL,Angul,20.8641,85.67608813
Odisha,454140,BHUBAN,Angul,20.8867,85.83191667
Odisha,454144,JORANDA,Angul,20.7864,85.72188889
Odisha,454162,BANKI-2,Angul,20.3818,85.53633693
Odisha,454163,KHANDABANDHA,Angul,20.8236,85.92980571
Odisha,454164,GADAJIT,Angul,20.3903,85.616
Odisha,454177,SANKARPUR,Angul,20.5157,85.58077
Odisha,454178,DAYANABILI,Angul,20.922,85.73919444
Odisha,454179,SAMALA,Angul,20.9182,85.79616667
Odisha,454180,SURAPRATAPPUR,Angul,20.9042,85.74447222
Odisha,454181,RADHAKRISHNAPUR,Angul,20.5753,85.676696
Odisha,454189,GANDIA,Angul,20.7645,85.79939104
Odisha,454196,BADAMBA,Angul,20.419,85.34386228
Odisha,454197,RATAPAT,Angul,20.4106,85.22221944
Odisha,454241,NARSINGHPUR,Angul,20.4606,85.07588863
Odisha,454274,HARIRAJPUR,Angul,20.3903,85.56496
Odisha,454275,BALIAMBA,Angul,20.5459,85.52130565
Odisha,454323,CHANDRASEKHAR PRASAD,Angul,20.5415,85.49805556
Odisha,454324,Nihalprasad,Angul,20.7983,85.99225
Odisha,454533,KANTIOPUTASAHI,Angul,20.7824,85.51127
Odisha,454538,Mahulia,Angul,20.4365,85.41799
Odisha,454549,Anantapur,Angul,20.9307,85.84837
Odisha,454632,BULRAMBIHAR,Angul,20.6436,85.58736004
Odisha,454644,NARIALI,Angul,20.5845,85.6532
Odisha,454649,PINGUA,Angul,20.8164,85.94588531
Odisha,454672,TALABASTA,Angul,20.3426,85.59291
Odisha,464049,Kasnapal mahulpal,Angul,20.86908,85.89228
Odisha,464051,DOLAMDEP SAHI,Angul,20.66703,85.59492
Odisha,464052,Meena Bazar,Angul,20.65892,85.59903
Odisha,500028,Godasila,Angul,20.67055,85.4973
Odisha,500030,Saptasajya,Angul,20.58029,85.59504
Odisha,500057,Mandar,Angul,20.84866,85.85715
Odisha,500065,Gobindpur Near Jatmundai,Angul,20.38316,85.60016
Odisha,500066,Athagad,Angul,20.52421,85.64344
Odisha,500068,Dhenkanal,Angul,20.66915,85.59148
Odisha,500070,Kankadad,Angul,20.64642,85.55474
Odisha,500165,Sadangi,Angul,20.81405,85.84026
Odisha,501068,Ganesh Vihar,Angul,20.657278,85.595944
Odisha,501089,PALASATIKIA,Angul,20.92251,85.75817
Odisha,501117,MANAPUR,Angul,20.414278,85.474361
Odisha,501126,Birakishorpur,Angul,20.515472,85.625778
Odisha,501175,NERA DHENKANAL COLLEGE,Angul,20.647528,85.612139
Odisha,501200,PATAPUR,Angul,20.361056,85.537528
Odisha,501252,BAUNSAPUT,Angul,20.417556,85.491167
Odisha,502074,Talabasta,Angul,20.34058,85.58492
Odisha,502608,Ragadusahi,Angul,20.662556,85.595694
Odisha,503068,Ramnagarpatna    ,Angul,20.759722,86.556806
Odisha,503246,GHOLAPUR,Angul,20.46079,86.46079
Odisha,504208,KHATUAHATA,Angul,20.786361,85.547277
Odisha,508413,Nuapatana,Angul,20.445444,85.469528
Odisha,508509,PATHAPUR,Angul,20.431833,85.660194
Odisha,508538,ODISSA,Angul,20.968583,85.744722
Odisha,508568,RAMACHANDRAPUR,Angul,20.354389,85.496139
Odisha,508588,GADAGOVINDPUR,Angul,20.618,85.641861
Odisha,508601,Badamba,Angul,20.419278,85.337889
Odisha,520316,DASA MANA PATNA,Angul,20.831444,85.963555
Odisha,521762,ALARA,Angul,20.46622,85.11637
Odisha,521960,Bhuban- Bania Sahi,Angul,20.87867,85.83027
Odisha,522087,K-V-K Nilachal Power Plant,Angul,20.59426,85.75313
Odisha,522944,Gopalpur(Ratapat),Angul,20.41749,85.2458
Odisha,523707,Sankameri-Badamba,Angul,20.37754,85.3395
Odisha,524386,Chirulei,Angul,20.75457,85.73934
Odisha,524621,"Joranda, Dhenkanal",Angul,20.78081,85.74703
Odisha,525116,Aanla,Angul,20.98527,85.76335
Odisha,525531,Dhanswar,Angul,20.32825,85.52661
Odisha,526022,Nathua-Dhenkanal,Angul,20.75803,85.66934
Odisha,526222,Maruabili,Angul,21.03556,85.71161
Odisha,526246,Rankia,Angul,20.82987,85.62778
Odisha,526365,Badabhuin_1 ,Angul,20.48564,85.0994
Odisha,526456,Songarapalli_Dhenkanal,Angul,20.71732,85.55972
Odisha,526980,Tarading,Angul,20.52686,85.67515
Odisha,527542,Bhaliabolkateni,Angul,20.63277,85.52665
Odisha,528594,Regeda_1,Angul,20.5287,84.92144
Odisha,529936,Kalamatia,Angul,20.44433,85.21557
Odisha,556237,Dhenkanal(Similia)_GSM,Angul,20.6763,85.6021
Odisha,556297,UW_Orissa_0886_Kusupangi Village,Angul,20.418,85.6322
Odisha,556334,UW_ORISSA_0761_KAPURSINGI,Angul,20.5488,85.7854
Odisha,556361,UW_Orissa_0909_RAMAKRIHSNAPUR,Angul,20.5533,85.6514
Odisha,556385,Tigiria_02_GSM,Angul,20.4545,85.5538
Odisha,556386,UW_Orissa_0615_Station Bazar,Angul,20.6749,85.5883
Odisha,556428,UW_ORISSA_0929_PATPUR,Angul,20.3615,85.5375
Odisha,556438,UW_Orissa_0858_JIRAL,Angul,20.8632,85.6765
Odisha,556472,Khuntuni,Angul,20.56583333,85.71147222
Odisha,556549,GONDIA,Angul,20.76333333,85.7975
Odisha,556610,Khuntuni_GSM_01,Angul,20.56316667,85.724
Odisha,556831,Dhenkanal_GSM(Minabazar),Angul,20.6587,85.59985
Odisha,556873,Joranda,Angul,20.78638889,85.72194444
Odisha,556888,Deulasahi_(GSM),Angul,20.64915,85.59418
Odisha,556932,Sanjulatha Sahoo Land (Dhenkanal),Angul,20.65465,85.59496
Odisha,556935,Athgarh,Angul,20.51744,85.62053
Odisha,556937,Laxmibazar,Angul,20.69301,85.57076
Odisha,557012,Nijigada-02,Angul,20.463,85.0739
Odisha,557019,Panchagaon,Angul,20.4706,85.5306
Odisha,557020,Ratapata,Angul,20.4115,85.2243
Odisha,578390,Madhabapur,Angul,20.50914,85.70341
Odisha,582953,Radhagovindapur,Angul,20.51353,85.63774
Odisha,582973,NUA BHUBAN,Angul,20.88388,85.82476
Odisha,583153,BHUBAN-01,Angul,20.88497,85.80566
Odisha,583509,Balarampur-1,Angul,20.46684,85.73671
Odisha,583510,Dhenkanal - Bhagabanpur,Angul,20.66476,85.61437
Odisha,586654,Narasinghpur,Angul,20.46279,85.08474
Odisha,587361,Korian By Pass Chowk-Kesaria,Angul,20.68605,85.57796
Odisha,590937,Ragidapada,Angul,20.41485,85.38142
Odisha,663286,Balarampur,Angul,20.67866,85.4945
Odisha,663287,Gobindaprasad,Angul,20.58829,85.46344
Odisha,663288,Banasingh-Bhuinpur,Angul,20.78522,85.63633
Odisha,663643,Sankarpur,Angul,20.52219,85.58617
Odisha,664766,Mantri-Jagannathpur,Angul,20.88789,85.63831
Odisha,453328,"PAVITRA,DIHA",Angul,21.6369,85.61500257
Odisha,453329,DULADAR SAHI,Angul,21.6364,85.60461079
Odisha,453343,KASHIPUR,Angul,21.6302,85.61702543
Odisha,453420,PIPLIA,Angul,21.5639,85.76222941
Odisha,453423,DHENKIKOTE,Angul,21.499,85.83136349
Odisha,453433,KANDINIGHAR,Angul,21.824,85.57244275
Odisha,453463,JODA,Angul,22.0194,85.42368
Odisha,453539,CHAMPUA,Angul,22.0656,85.66782
Odisha,453574,MAHADEVDEULI,Angul,21.823,85.82588889
Odisha,453806,MAHABOOLGADIYA,Angul,21.6406,85.60564298
Odisha,453807,DRUPADA,Angul,21.6527,85.59286111
Odisha,453808,KEONJHAR,Angul,21.6356,85.60980721
Odisha,453809,MAHALAXMI VIHAR,Angul,21.647,85.60997222
Odisha,453810,ATAPUR,Angul,21.6276,85.59028147
Odisha,453811,HATIYA,Angul,21.6307,85.60047289
Odisha,453812,SHIV NARAYAN PUR,Angul,21.6221,85.58236546
Odisha,453813,BADADERA,Angul,21.6269,85.62360883
Odisha,453814,KULLADERA,Angul,21.6364,85.62511241
Odisha,453851,AMBAGADIA,Angul,21.1996,86.19436445
Odisha,454003,Badjampusi,Angul,21.5777,85.84486264
Odisha,454070,AMARANG,Angul,21.308,86.06794919
Odisha,454071,DARAKHOLA,Angul,21.3522,86.00589225
Odisha,454084,SIJUKALA,Angul,21.9484,85.59827557
Odisha,454105,Bilipada,Angul,22.0636,85.47322222
Odisha,454183,BARBIL 2,Angul,22.1152,85.39394
Odisha,454184,BARBIL,Angul,22.1048,85.38663889
Odisha,454185,BHADRASAHI,Angul,22.0577,85.38613522
Odisha,454224,BALIBAND,Angul,21.6563,85.84980255
Odisha,454225,UDAYAPUR,Angul,21.7051,85.85713889
Odisha,454392,SINGADA,Angul,21.8537,85.90948
Odisha,454408,BADA RARUAN,Angul,21.9574,85.861642
Odisha,454463,CHILIDA,Angul,21.7545,85.76391667
Odisha,454485,Khireitangiri,Angul,21.7117,85.70512
Odisha,454498,DARI,Angul,21.8722,85.96288
Odisha,454504,KARANJIA002,Angul,21.7664,85.97228
Odisha,454637,BIRGOVINDPUR,Angul,21.266,86.08822294
Odisha,454638,GHADGAON,Angul,21.3936,85.89941634
Odisha,463921,Kendujhar,Angul,21.63508,85.61089
Odisha,480260,Balarampur_Atasahi,Angul,21.17558,86.07232
Odisha,481343,Kumbhirda_1,Angul,21.91494,85.80724
Odisha,481345,Tangia,Angul,21.88914,85.89145
Odisha,500055,Keonjhar-3,Angul,21.65262,85.60762
Odisha,501071,Kandinighar,Angul,20.896667,85.577556
Odisha,502321,MUNICIPALITY ROAD,Angul,21.21547,86.12189
Odisha,502600,Mayaurgadia,Angul,21.640111,85.605278
Odisha,508282,Kodapada(Pro Active),Angul,21.289589,86.087889
Odisha,508283,Salabani (Pro Active),Angul,21.219931,86.166119
Odisha,508389,SAGADAPATA ,Angul,21.2475,85.918111
Odisha,508390,BHAGAMUNDA,Angul,21.269972,85.870917
Odisha,508391,BARAKHAMAN,Angul,21.332944,85.84225
Odisha,508392,BOXIBARIGAM,Angul,21.495639,85.650944
Odisha,508424,"Jagannathpur, KJR",Angul,21.632611,85.613417
Odisha,508425,Rimuli,Angul,21.96125,85.605417
Odisha,508431,HIRAKUND COLONY,Angul,22.039472,85.436806
Odisha,508435,Mirnal Nagar,Angul,22.103389,85.376778
Odisha,508454,Hospital Road(Barbil),Angul,22.109,85.386556
Odisha,508471,Hospital Coloney,Angul,21.62875,85.595194
Odisha,508513,PANCHIPALI,Angul,21.169583,86.176972
Odisha,508548,KANTIPAL,Angul,21.265083,86.200111
Odisha,508558,ANANDAPUR,Angul,21.207944,86.1385
Odisha,508609,Barbil - 14,Angul,22.092583,85.354306
Odisha,508610,Barbil - 13,Angul,22.109889,85.381694
Odisha,508611,"Shiv Mandir, Joda",Angul,22.028556,85.42225
Odisha,508613,Childa,Angul,21.75425,85.764167
Odisha,508614,Badamanigaon,Angul,21.663056,85.611944
Odisha,508632,Janghira,Angul,21.427722,85.619611
Odisha,520355,ANKURA CHAKA,Angul,21.778277,85.95888
Odisha,521221,UCHABALI,Angul,21.93103,85.77686
Odisha,521580,Anandapur-Tukuna,Angul,21.19524,86.15788
Odisha,525221,Badamuria,Angul,21.86781,85.64319
Odisha,525747,Padampur-Keonjhar,Angul,21.23278,86.14043
Odisha,526335,Baghadafa,Angul,21.8152,85.97081
Odisha,526340,Batapalasa ,Angul,21.82312,86.05408
Odisha,527525,Hindola,Angul,22.05269,85.74055
Odisha,528597,Arjunposi,Angul,21.78639,85.85418
Odisha,528599,Amunipur,Angul,21.77586,85.52988
Odisha,528993,Gobindapur_Keonjhar,Angul,21.6402,85.6242
Odisha,530059,Dimbo,Angul,21.63404,85.65482
Odisha,530060,Bholabeda,Angul,21.55643,85.82463
Odisha,530068,Toranipokhari,Angul,21.58622,85.78368
Odisha,556599,Ghatagaon_GSM,Angul,21.39666667,85.89272222
Odisha,556713,HARICHANDANPUR,Angul,21.33944444,85.79055556
Odisha,556740,Narenpur,Angul,21.61147222,85.64808333
Odisha,556847,UW_Orissa_0648_NEAR KARANJIA,Angul,21.7743,85.9821
Odisha,556848,UW_ORISSA_0649_KARANJIA_Girisa,Angul,21.7549,85.9728
Odisha,556901,Karanjia(Gadasahi)GSM,Angul,21.76414,85.96892
Odisha,556952,Karanjia,Angul,21.76522222,85.97661111
Odisha,556954,Baldev Temple(Keonjhar_2),Angul,21.6298,85.58739
Odisha,557230,Joda,Angul,22.02057,85.42052
Odisha,557238,Swargadwara,Angul,22.0396,85.4369
Odisha,557240,Kumarjoda,Angul,22.00584,85.42248
Odisha,557241,Goalimines,Angul,21.97883,85.28553
Odisha,557274,Champua,Angul,22.06492,85.66843
Odisha,557280,Gadadharpur,Angul,21.44527,85.87534
Odisha,557316,Kendujhar_006_GSM,Angul,21.629,85.61832
Odisha,557334,UW_Orissa_0718_KEONJHAR NEW COLONY,Angul,21.6424,85.6171
Odisha,557339,Parshala Keonjhar(GSM),Angul,21.9454,85.602
Odisha,557341,UW_Orissa_0860_Baneikala Basti(Joda-2),Angul,22.0358,85.4221
Odisha,574235,BALDEV TEMPLE KEONJHAR 2 BSC,Angul,21.6298,85.5873
Odisha,574362,Joda-Khondbond,Angul,21.93089,85.38049
Odisha,578310,Bakla,Angul,21.92455,86.05785
Odisha,578311,Kesana,Angul,21.89652,85.81345
Odisha,578348,Raidiha,Angul,21.66624,85.97986
Odisha,581891,Forest office-01,Angul,22.11819,85.39462
Odisha,581896,Tata Server Room_Joda,Angul,22.006497,85.428295
Odisha,581897,Tata Equipment Room_Joda,Angul,21.9944,85.4356
Odisha,581937,ST. Marry School,Angul,22.10627,85.37955
Odisha,582197,salapada By Pass Chhak,Angul,21.19851,86.12
Odisha,582820,AMRUT VIHAR,Angul,21.63702,85.59718
Odisha,582952,Phd Colony,Angul,22.1211,85.382
Odisha,582976,Sailong chock,Angul,21.21596,86.09779
Odisha,582978,College Road Badahal,Angul,21.64989,85.61826
Odisha,583056,Joda East Township,Angul,22.02875,85.42891
Odisha,584007,Banajodi-01,Angul,21.7139,85.58108
Odisha,584193,Sukruli,Angul,21.92401,85.86508
Odisha,588274,Tata West Colony_Joda,Angul,22.02397,85.41281
Odisha,588276,Tata East Colony_Joda,Angul,22.0258,85.42903
Odisha,590959,MMTC Colony_01,Angul,22.04104,85.42621
Odisha,591230,Silisuan,Angul,21.84004,85.53781
Odisha,593126,Denkapur,Angul,21.626,85.58479
Odisha,593705,Khanda_01,Angul,21.95246,85.39025
